2019-01-01,New Year
2019-03-04,Carnival
2019-03-05,Carnival
2019-04-19,Good Friday
2019-04-21,Tiradentes Day
2019-05-01,May Day
2019-06-20,Corpus Christi
2019-09-07,Independence Day
2019-10-12,Aparecida
2019-11-02,All Souls' Day
2019-11-15,Republic Day
2019-12-25,Christmas
2020-01-01,New Year
2020-02-24,Carnival
2020-02-25,Carnival
2020-04-10,Good Friday
2020-04-21,Tiradentes Day
2020-05-01,May Day
2020-06-11,Corpus Christi
2020-09-07,Independence Day
2020-10-12,Aparecida
2020-11-02,All Souls' Day
2020-11-15,Republic Day
2020-12-25,Christmas
2021-01-01,New Year
2021-02-15,Carnival
2021-02-16,Carnival
2021-04-02,Good Friday
2021-04-21,Tiradentes Day
2021-05-01,May Day
2021-06-03,Corpus Christi
2021-09-07,Independence Day
2021-10-12,Aparecida
2021-11-02,All Souls' Day
2021-11-15,Republic Day
2021-12-25,Christmas
2022-01-01,New Year
2022-02-28,Carnival
2022-03-01,Carnival
2022-04-15,Good Friday
2022-04-21,Tiradentes Day
2022-05-01,May Day
2022-06-16,Corpus Christi
2022-09-07,Independence Day
2022-10-12,Aparecida
2022-11-02,All Souls' Day
2022-11-15,Republic Day
2022-12-25,Christmas
2023-01-01,New Year
2023-02-20,Carnival
2023-02-21,Carnival
2023-04-07,Good Friday
2023-04-21,Tiradentes Day
2023-05-01,May Day
2023-06-08,Corpus Christi
2023-09-07,Independence Day
2023-10-12,Aparecida
2023-11-02,All Souls' Day
2023-11-15,Republic Day
2023-12-25,Christmas
2024-01-01,New Year
2024-02-12,Carnival
2024-02-13,Carnival
2024-03-29,Good Friday
2024-04-21,Tiradentes Day
2024-05-01,May Day
2024-05-30,Corpus Christi
2024-09-07,Independence Day
2024-10-12,Aparecida
2024-11-02,All Souls' Day
2024-11-15,Republic Day
2024-12-25,Christmas
2025-01-01,New Year
2025-03-03,Carnival
2025-03-04,Carnival
2025-04-18,Good Friday
2025-04-21,Tiradentes Day
2025-05-01,May Day
2025-06-19,Corpus Christi
2025-09-07,Independence Day
2025-10-12,Aparecida
2025-11-02,All Souls' Day
2025-11-15,Republic Day
2025-12-25,Christmas
2026-01-01,New Year
2026-02-16,Carnival
2026-02-17,Carnival
2026-04-03,Good Friday
2026-04-21,Tiradentes Day
2026-05-01,May Day
2026-06-04,Corpus Christi
2026-09-07,Independence Day
2026-10-12,Aparecida
2026-11-02,All Souls' Day
2026-11-15,Republic Day
2026-12-25,Christmas
2027-01-01,New Year
2027-02-08,Carnival
2027-02-09,Carnival
2027-03-26,Good Friday
2027-04-21,Tiradentes Day
2027-05-01,May Day
2027-05-27,Corpus Christi
2027-09-07,Independence Day
2027-10-12,Aparecida
2027-11-02,All Souls' Day
2027-11-15,Republic Day
2027-12-25,Christmas
2028-01-01,New Year
2028-02-28,Carnival
2028-02-29,Carnival
2028-04-14,Good Friday
2028-04-21,Tiradentes Day
2028-05-01,May Day
2028-06-15,Corpus Christi
2028-09-07,Independence Day
2028-10-12,Aparecida
2028-11-02,All Souls' Day
2028-11-15,Republic Day
2028-12-25,Christmas
2029-01-01,New Year
2029-02-12,Carnival
2029-02-13,Carnival
2029-03-30,Good Friday
2029-04-21,Tiradentes Day
2029-05-01,May Day
2029-05-31,Corpus Christi
2029-09-07,Independence Day
2029-10-12,Aparecida
2029-11-02,All Souls' Day
2029-11-15,Republic Day
2029-12-25,Christmas
