2019-01-01,New Year
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-05-01,Labour Day
2019-12-25,Christmas
2019-12-26,Christmas
2020-01-01,New Year
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-01,Labour Day
2020-12-25,Christmas
2020-12-26,Christmas
2021-01-01,New Year
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-05-01,Labour Day
2021-12-25,Christmas
2021-12-26,Christmas
2022-01-01,New Year
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-05-01,Labour Day
2022-12-25,Christmas
2022-12-26,Christmas
2023-01-01,New Year
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-12-25,Christmas
2023-12-26,Christmas
2024-01-01,New Year
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-05-01,Labour Day
2024-12-25,Christmas
2024-12-26,Christmas
2025-01-01,New Year
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-05-01,Labour Day
2025-12-25,Christmas
2025-12-26,Christmas
2026-01-01,New Year
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-05-01,Labour Day
2026-12-25,Christmas
2026-12-26,Christmas
2027-01-01,New Year
2027-03-26,Good Friday
2027-03-29,Easter Monday
2027-05-01,Labour Day
2027-12-25,Christmas
2027-12-26,Christmas
2028-01-01,New Year
2028-04-14,Good Friday
2028-04-17,Easter Monday
2028-05-01,Labour Day
2028-12-25,Christmas
2028-12-26,Christmas
2029-01-01,New Year
2029-03-30,Good Friday
2029-04-02,Easter Monday
2029-05-01,Labour Day
2029-12-25,Christmas
2029-12-26,Christmas
