2019-01-01,New Year
2019-01-02,New Year
2019-01-03,New Year
2019-01-14,Adults' Day
2019-02-11,National Foundation Day
2019-03-21,Vernal Equinox
2019-04-29,Showa Day
2019-04-30,National Holiday
2019-05-01,Coronation Day
2019-05-02,National Holiday
2019-05-03,Constitution Memorial Day
2019-05-04,Greenery Day
2019-05-06,Mon after Childrens Day
2019-07-15,Marine Day
2019-08-12,Mon after Mountain Day
2019-09-16,Respect for the Aged Day
2019-09-23,Autumnal Equinox
2019-10-14,Sports Day
2019-10-22,The Enthronement Ceremony
2019-11-04,Mon after Culture Day
2019-11-23,Labour Thanksgiving Day
2019-12-31,New Year's Eve
2020-01-01,New Year
2020-01-02,New Year
2020-01-03,New Year
2020-01-13,Adults' Day
2020-02-11,National Foundation Day
2020-02-24,Mon after Emperor's Birthday
2020-03-20,Vernal Equinox
2020-04-29,Showa Day
2020-05-04,Mon after Constitution Memorial Day
2020-05-05,Greenery Day [Transfer]
2020-05-06,Childrens Day [Transfer]
2020-07-23,Tokyo Olympics
2020-07-24,Tokyo Olympics
2020-08-10,Tokyo Olympics
2020-09-21,Respect for the Aged Day
2020-09-22,Autumnal Equinox
2020-11-03,Culture Day
2020-11-23,Labour Thanksgiving Day
2020-12-31,New Year's Eve
2021-01-01,New Year
2021-01-02,New Year
2021-01-03,New Year
2021-01-11,Adults' Day
2021-02-11,National Foundation Day
2021-02-23,Emperor's Birthday
2021-03-20,Vernal Equinox
2021-04-29,Showa Day
2021-05-03,Constitution Memorial Day
2021-05-04,Greenery Day
2021-05-05,Childrens Day
2021-07-19,Marine Day
2021-08-11,Mountain Day
2021-09-20,Respect for the Aged Day
2021-09-23,Autumnal Equinox
2021-10-11,Sports Day
2021-11-03,Culture Day
2021-11-23,Labour Thanksgiving Day
2021-12-31,New Year's Eve
2022-01-01,New Year
2022-01-02,New Year
2022-01-03,New Year
2022-01-10,Adults' Day
2022-02-11,National Foundation Day
2022-02-23,Emperor's Birthday
2022-03-21,Vernal Equinox
2022-04-29,Showa Day
2022-05-03,Constitution Memorial Day
2022-05-04,Greenery Day
2022-05-05,Childrens Day
2022-07-18,Marine Day
2022-08-11,Mountain Day
2022-09-19,Respect for the Aged Day
2022-09-23,Autumnal Equinox
2022-10-10,Sports Day
2022-11-03,Culture Day
2022-11-23,Labour Thanksgiving Day
2022-12-31,New Year's Eve
2023-01-01,New Year
2023-01-02,New Year
2023-01-03,New Year
2023-01-09,Adults' Day
2023-02-11,National Foundation Day
2023-02-23,Emperor's Birthday
2023-03-21,Vernal Equinox
2023-04-29,Showa Day
2023-05-03,Constitution Memorial Day
2023-05-04,Greenery Day
2023-05-05,Childrens Day
2023-07-17,Marine Day
2023-08-11,Mountain Day
2023-09-18,Respect for the Aged Day
2023-09-23,Autumnal Equinox
2023-10-09,Sports Day
2023-11-03,Culture Day
2023-11-23,Labour Thanksgiving Day
2023-12-31,New Year's Eve
2024-01-01,New Year
2024-01-02,New Year
2024-01-03,New Year
2024-01-08,Adults' Day
2024-02-12,Mon after National Foundation Day
2024-02-23,Emperor's Birthday
2024-03-20,Vernal Equinox
2024-04-29,Showa Day
2024-05-03,Constitution Memorial Day
2024-05-04,Greenery Day
2024-05-06,Mon after Childrens Day
2024-07-15,Marine Day
2024-08-12,Mon after Mountain Day
2024-09-16,Respect for the Aged Day
2024-09-23,Mon after Autumnal Equinox
2024-10-14,Sports Day
2024-11-04,Mon after Culture Day
2024-11-23,Labour Thanksgiving Day
2024-12-31,New Year's Eve
2025-01-01,New Year
2025-01-02,New Year
2025-01-03,New Year
2025-01-13,Adults' Day
2025-02-11,National Foundation Day
2025-02-24,Mon after Emperor's Birthday
2025-03-20,Vernal Equinox
2025-04-29,Showa Day
2025-05-03,Constitution Memorial Day
2025-05-05,Mon after Greenery Day
2025-05-06,Childrens Day [Transfer]
2025-07-21,Marine Day
2025-08-11,Mountain Day
2025-09-15,Respect for the Aged Day
2025-09-23,Autumnal Equinox
2025-10-13,Sports Day
2025-11-03,Culture Day
2025-11-24,Mon after Labour Thanksgiving Day
2025-12-31,New Year's Eve
2026-01-01,New Year
2026-01-02,New Year
2026-01-03,New Year
2026-01-12,Adults' Day
2026-02-11,National Foundation Day
2026-02-23,Emperor's Birthday
2026-03-20,Vernal Equinox
2026-04-29,Showa Day
